Unnamed: 0,English,Turkish
2750,bids,teklifler
2751,referred,sevk edildi
2752,supports,destekler
2753,nutrition,beslenme
2754,recording,kayıt
2755,regions,bölgeler
2756,junior,genç
2757,toll,Geçiş ücreti
2758,les,les
2759,cape,pelerin
2760,ann,anne
2761,rings,yüzükler
2762,meaning,Anlam
2763,tip,uç
2764,secondary,ikincil
2765,wonderful,müthiş
2766,mine,bana ait
2767,ladies,bayanlar
2768,henry,Henry
2769,ticket,bilet
2770,announced,duyuruldu
2771,guess,tahmin etmek
2772,agreed,kabul edildi
2773,prevention,önleme
2774,whom,kime
2775,ski,kayak
2776,soccer,futbol
2777,math,matematik
2778,import,içe aktarmak
2779,posting,gönderme
2780,presence,mevcudiyet
2781,instant,ani
2782,mentioned,adı geçen
2783,automatic,otomatik
2784,healthcare,sağlık hizmeti
2785,viewing,görüntüleme
2786,maintained,sürdürüldü
2787,ch,ç
2788,increasing,artan
2789,majority,çoğunluk
2790,connected,bağlı
2791,christ,İsa
2792,dan,dan
2793,dogs,köpekler
2794,sd,sd
2795,directors,yöneticiler
2796,aspects,bakış açıları
2797,austria,Avusturya
2798,ahead,ilerde
2799,moon,ay
2800,participation,katılım
2801,scheme,şema
2802,utility,faydalılık
2803,preview,önizleme
2804,fly,uçmak
2805,manner,biçim
2806,matrix,matris
2807,containing,içeren
2808,combination,kombinasyon
2809,devel,geliştirmek
2810,amendment,değişiklik
2811,despite,aksine
2812,strength,kuvvet
2813,guaranteed,garantili
2814,turkey,Türkiye
2815,libraries,kütüphaneler
2816,proper,düzgün
2817,distributed,dağıtılmış
2818,degrees,dereceler
2819,singapore,Singapur
2820,enterprises,işletmeler
2821,delta,delta
2822,fear,korku
2823,seeking,arayan
2824,inches,inç
2825,phoenix,anka kuşu
2826,rs,rs
2827,convention,kongre
2828,shares,hisse senetleri
2829,principal,müdür
2830,daughter,kız çocuğu
2831,standing,ayakta durmak
2832,voyeur,röntgenci
2833,comfort,konfor
2834,colors,renkler
2835,wars,savaşlar
2836,cisco,cisco
2837,ordering,sipariş verme
2838,kept,tutulmuş
2839,alpha,alfa
2840,appeal,çekici
2841,cruise,dolaşmak
2842,bonus,bonus
2843,certification,sertifikasyon
2844,previously,önceden
2845,hey,Hey
2846,bookmark,yer imi
2847,buildings,binalar
2848,specials,özel ürünler
2849,beat,vurmak
2850,disney,Disney
2851,household,ev
2852,batteries,piller
2853,adobe,kerpiç
2854,smoking,sigara içmek
2855,bbc,bbc
2856,becomes,olur
2857,drives,sürücüler
2858,arms,kollar
2859,alabama,Alabama
2860,tea,çay
2861,improved,geliştirilmiş
2862,trees,ağaçlar
2863,avg,ort
2864,achieve,başarmak
2865,positions,pozisyonlar
2866,dress,elbise
2867,subscription,abonelik
2868,dealer,satıcı
2869,contemporary,modern
2870,sky,gökyüzü
2871,utah,Utah
2872,nearby,yakında
2873,rom,ROM
2874,carried,taşınan
2875,happen,olmak
2876,exposure,maruziyet
2877,panasonic,panasonic
2878,hide,saklamak
2879,permalink,kalıcı bağlantı
2880,signature,imza
2881,gambling,kumar
2882,refer,bahsetmek
2883,miller,değirmenci
2884,provision,karşılık
2885,outdoors,açık havada
2886,clothes,kıyafetler
2887,caused,neden oldu
2888,luxury,lüks
2889,babes,bebekler
2890,frames,çerçeveler
2891,viagra,viagra
2892,certainly,kesinlikle
2893,indeed,Aslında
2894,newspaper,gazete
2895,toy,oyuncak
2896,circuit,devre
2897,layer,katman
2898,printed,basılmış
2899,slow,yavaş
2900,removal,kaldırma
2901,easier,Daha kolay
2902,src,kaynak
2903,liability,yükümlülük
2904,trademark,ticari marka
2905,hip,belki
2906,printers,yazıcılar
2907,faqs,SSS
2908,nine,dokuz
2909,adding,ekleyerek
2910,kentucky,Kentucky
2911,mostly,çoğunlukla
2912,eric,Eric
2913,spot,leke
2914,taylor,terzi
2915,trackback,geri izleme
2916,prints,baskılar
2917,spend,harcamak
2918,factory,fabrika
2919,interior,iç mekan
2920,revised,revize edilmiş
2921,grow,büyümek
2922,americans,Amerikalılar
2923,optical,optik
2924,promotion,terfi
2925,relative,akraba
2926,amazing,inanılmaz
2927,clock,saat
2928,dot,nokta
2929,hiv,HIV
2930,identity,kimlik
2931,suites,suitler
2932,conversion,dönüşüm
2933,feeling,his
2934,hidden,gizlenmiş
2935,reasonable,mantıklı
2936,victoria,Viktorya
2937,serial,seri
2938,relief,rahatlama
2939,revision,revizyon
2940,broadband,geniş bant
2941,influence,etkilemek
2942,ratio,oran
2943,pda,pda
2944,importance,önem
2945,rain,yağmur
2946,onto,üzerine
2947,dsl,dsl
2948,planet,gezegen
2949,webmaster,web yöneticisi
2950,copies,kopyalar
2951,recipe,yemek tarifi
2952,zum,zum
2953,permit,izin vermek
2954,seeing,görmek
2955,proof,kanıt
2956,dna,DNA
2957,diff,fark
2958,tennis,tenis
2959,bass,bas
2960,prescription,reçete
2961,bedroom,yatak odası
2962,empty,boş
2963,instance,misal
2964,hole,delik
2965,pets,evcil hayvanlar
2966,ride,sürmek
2967,licensed,lisanslı
2968,orlando,Orlando
2969,specifically,özellikle
2970,tim,zaman
2971,bureau,büro
2972,maine,Maine
2973,sql,sql
2974,represent,temsil etmek
2975,conservation,koruma
2976,pair,çift
2977,ideal,ideal
2978,specs,özellikler
2979,recorded,kaydedildi
2980,don,giymek
2981,pieces,parçalar
2982,finished,bitmiş
2983,parks,parklar
2984,dinner,akşam yemeği
2985,lawyers,avukatlar
2986,sydney,Sidney
2987,stress,stres
2988,cream,krema
2989,ss,ss
2990,runs,çalışır
2991,trends,trendler
2992,yeah,Evet
2993,discover,keşfetmek
2994,sexo,seks
2995,ap,uygulama
2996,patterns,desenler
2997,boxes,kutular
2998,louisiana,Louisiana
2999,hills,tepeler
3000,javascript,JavaScript
3001,fourth,dördüncü
3002,nm,nm
3003,advisor,danışman
3004,mn,mn
3005,marketplace,pazar yeri
3006,nd,ve
3007,evil,fenalık
3008,aware,farkında olmak
3009,wilson,wilson
3010,shape,şekil
3011,evolution,evrim
3012,irish,İrlandalı
3013,certificates,sertifikalar
3014,objectives,hedefler
3015,stations,istasyonlar
3016,suggested,önerilen
3017,gps,Küresel Konumlama Sistemi
3018,op,op
3019,remains,kalıntılar
3020,acc,acc
3021,greatest,en büyük
3022,firms,firmalar
3023,concerned,endişeli
3024,euro,euro
3025,operator,operatör
3026,structures,yapılar
3027,generic,genel
3028,encyclopedia,ansiklopedi
3029,usage,kullanım
3030,cap,şapka
3031,ink,mürekkep
3032,charts,grafikler
3033,continuing,devam ediyor
3034,mixed,karışık
3035,census,nüfus sayımı
3036,interracial,ırklararası
3037,peak,doruğa ulaşmak
3038,tn,tn
3039,competitive,rekabetçi
3040,exist,var olmak
3041,wheel,teker
3042,transit,transit
3043,dick,pipi
3044,suppliers,tedarikçiler
3045,salt,tuz
3046,compact,kompakt
3047,poetry,şiir
3048,lights,ışıklar
3049,tracking,izleme
3050,angel,melek
3051,bell,zil
3052,keeping,tutmak
3053,preparation,hazırlık
3054,attempt,girişim
3055,receiving,alma
3056,matches,maçlar
3057,accordance,uyum
3058,width,Genişlik
3059,noise,gürültü
3060,engines,motorlar
3061,forget,unutmak
3062,array,sıralamak
3063,discussed,tartışıldı
3064,accurate,kesin
3065,stephen,stephen
3066,elizabeth,elizabeth
3067,climate,iklim
3068,reservations,rezervasyonlar
3069,pin,iğne
3070,playstation,PlayStation
3071,alcohol,alkol
3072,greek,Yunan
3073,instruction,talimat
3074,managing,yönetmek
3075,annotation,dipnot
3076,sister,kız kardeş
3077,raw,çiğ
3078,differences,farklılıklar
3079,walking,yürüme
3080,explain,açıklamak
3081,smaller,daha küçük
3082,newest,en yeni
3083,establish,kurmak
3084,gnu,gnu
3085,happened,olmuş
3086,expressed,ifade edildi
3087,jeff,Jeff
3088,extent,kapsam
3089,sharp,keskin
3090,lesbians,lezbiyenler
3091,ben,ben
3092,lane,Lane
3093,paragraph,paragraf
3094,kill,öldürmek
3095,mathematics,matematik
3096,aol,aol
3097,compensation,tazminat
3098,ce,ce
3099,export,ihracat
3100,managers,yöneticiler
3101,aircraft,uçak
3102,modules,modüller
3103,sweden,İsveç
3104,conflict,anlaşmazlık
3105,conducted,yürütülen
3106,versions,versiyonları
3107,employer,iş veren
3108,occur,meydana gelmek
3109,percentage,yüzde
3110,knows,bilir
3111,mississippi,Mississippi
3112,describe,betimlemek
3113,concern,kaygı
3114,backup,yedek
3115,requested,talep edildi
3116,citizens,vatandaşlar
3117,connecticut,Connecticut
3118,heritage,miras
3119,personals,kişisel
3120,immediate,acil
3121,holding,tutma
3122,trouble,bela
3123,spread,yaymak
3124,coach,koç
3125,kevin,kevin
3126,agricultural,tarımsal
3127,expand,genişletmek
3128,supporting,destek
3129,audience,kitle
3130,assigned,atanmış
3131,jordan,Ürdün
3132,collections,koleksiyonlar
3133,ages,yaşlar
3134,participate,katılmak
3135,plug,fiş
3136,specialist,uzman
3137,cook,aşçı
3138,affect,etkilemek
3139,virgin,bakir
3140,experienced,deneyimli
3141,investigation,soruşturma
3142,raised,kabarık
3143,hat,şapka
3144,institution,kurum
3145,directed,yönlendirilmiş
3146,dealers,bayiler
3147,searching,arama
3148,sporting,spor
3149,helping,yardım etmek
3150,perl,inci
3151,affected,etkilenen
3152,lib,lib
3153,bike,bisiklet
3154,totally,tamamen
3155,plate,plaka
3156,expenses,masraflar
3157,indicate,belirtmek
3158,blonde,sarışın
3159,ab,ab
3160,proceedings,işlemler
3161,favourite,favori
3162,transmission,bulaşma
3163,anderson,anderson
3164,utc,UTC
3165,characteristics,özellikleri
3166,der,der
3167,lose,kaybetmek
3168,organic,organik
3169,seek,aramak
3170,experiences,deneyimler
3171,albums,albümler
3172,cheats,hileler
3173,extremely,aşırı boyutta
3174,verzeichnis,verzeichnis
3175,contracts,sözleşmeler
3176,guests,misafirler
3177,hosted,barındırılan
3178,diseases,hastalıklar
3179,concerning,ilişkin
3180,developers,geliştiriciler
3181,equivalent,eş değer
3182,chemistry,kimya
3183,tony,Tony
3184,neighborhood,komşu
3185,nevada,nevada
3186,kits,kitler
3187,thailand,Tayland
3188,variables,değişkenler
3189,agenda,gündem
3190,anyway,Neyse
3191,continues,devam ediyor
3192,tracks,izler
3193,advisory,danışmanlık
3194,cam,kam
3195,curriculum,müfredat
3196,logic,mantık
3197,template,şablon
3198,prince,prens
3199,circle,daire
3200,soil,toprak
3201,grants,hibeler
3202,anywhere,herhangi bir yer
3203,psychology,psikoloji
3204,responses,cevaplar
3205,atlantic,Atlantik
3206,wet,ıslak
3207,circumstances,durumlar
3208,edward,Edward
3209,investor,yatırımcı
3210,identification,Tanılama
3211,ram,Veri deposu
3212,leaving,ayrılmak
3213,wildlife,yaban hayatı
3214,appliances,cihazlar
3215,matt,mat
3216,elementary,ilkokul
3217,cooking,yemek pişirmek
3218,speaking,konuşuyorum
3219,sponsors,sponsorlar
3220,fox,tilki
3221,unlimited,sınırsız
3222,respond,yanıtlamak
3223,sizes,boyutlar
3224,plain,ova
3225,exit,çıkış
3226,entered,girildi
3227,iran,İran
3228,arm,kol
3229,keys,anahtarlar
3230,launch,öğle yemeği
3231,wave,dalga
3232,checking,kontrol ediyor
3233,costa,Kosta
3234,belgium,Belçika
3235,printable,yazdırılabilir
3236,holy,kutsal
3237,acts,eylemler
3238,guidance,rehberlik
3239,mesh,ağ
3240,trail,iz
3241,enforcement,uygulama
3242,symbol,sembol
3243,crafts,el sanatları
3244,highway,otoyol
3245,buddy,ahbap
3246,hardcover,ciltli
3247,observed,gözlemlendi
3248,dean,dekan
3249,setup,kurmak
3250,poll,anket
3251,booking,rezervasyon
3252,glossary,sözlük
3253,fiscal,mali
3254,celebrity,ünlü
3255,styles,stiller
3256,denver,Denver
3257,unix,unix
3258,filled,dolu
3259,bond,bağlamak
3260,channels,kanallar
3261,ericsson,Ericsson
3262,appendix,ek
3263,notify,bildirmek
3264,blues,maviler
3265,chocolate,çikolata
3266,pub,bar
3267,portion,porsiyon
3268,scope,kapsam
3269,hampshire,hampshire
3270,supplier,tedarikçi
3271,cables,kablolar
3272,cotton,pamuk
3273,bluetooth,Bluetooth
3274,controlled,kontrollü
3275,requirement,gereklilik
3276,authorities,yetkililer
3277,biology,biyoloji
3278,dental,diş
3279,killed,öldürüldü
3280,border,sınır
3281,ancient,antik
3282,debate,çekişme
3283,representatives,temsilciler
3284,starts,başlar
3285,pregnancy,gebelik
3286,causes,nedenler
3287,arkansas,Arkansas
3288,biography,biyografi
3289,leisure,boş vakit
3290,attractions,turistik yerler
3291,learned,öğrenildi
3292,transactions,işlemler
3293,notebook,not defteri
3294,explorer,kaşif
3295,historic,tarihi
3296,attached,ekli
3297,opened,açıldı
3298,tm,tm
3299,husband,koca
3300,disabled,engelli
3301,authorized,yetkili
3302,crazy,deli
3303,upcoming,Yaklaşan
3304,britain,Britanya
3305,concert,konser
3306,retirement,emeklilik
3307,scores,puanlar
3308,financing,finansman
3309,efficiency,yeterlik
3310,sp,sp
3311,comedy,komedi
3312,adopted,benimsendi
3313,efficient,verimli
3314,weblog,web günlüğü
3315,linear,doğrusal
3316,commitment,bağlılık
3317,specialty,uzmanlık
3318,bears,ayılar
3319,jean,kot
3320,hop,atlama
3321,carrier,taşıyıcı
3322,edited,düzenlendi
3323,constant,devamlı
3324,visa,Visa
3325,mouth,ağız
3326,jewish,Yahudi
3327,meter,metre
3328,linked,bağlantılı
3329,portland,Portland
3330,interviews,röportajlar
3331,concepts,kavramlar
3332,nh,nh
3333,gun,silah
3334,reflect,yansıtmak
3335,pure,saf
3336,deliver,teslim etmek
3337,wonder,merak etmek
3338,hell,cehennem
3339,lessons,dersler
3340,fruit,meyve
3341,begins,başlar
3342,qualified,nitelikli
3343,reform,reform
3344,lens,mercek
3345,alerts,uyarılar
3346,treated,işlem görmüş
3347,discovery,keşif
3348,draw,çizmek
3349,mysql,mysql
3350,classified,sınıflandırılmış
3351,relating,ilgili
3352,assume,farz etmek
3353,confidence,kendinden emin
3354,alliance,ittifak
3355,fm,fm
3356,confirm,onaylamak
3357,warm,ılık
3358,neither,hiç biri
3359,lewis,lewis
3360,howard,Howard
3361,offline,çevrimdışı
3362,leaves,yapraklar
3363,engineer,mühendis
3364,lifestyle,yaşam tarzı
3365,consistent,tutarlı
3366,replace,yer değiştirmek
3367,clearance,izin
3368,connections,bağlantılar
3369,inventory,envanter
3370,converter,dönüştürücü
3371,suck,emmek
3372,organisation,organizasyon
3373,babe,bebeğim
3374,checks,kontroller
3375,reached,ulaşmış
3376,becoming,olma
3377,blowjob,oral seks
3378,safari,safari
3379,objective,amaç
3380,indicated,belirtilen
3381,sugar,şeker
3382,crew,mürettebat
3383,legs,bacaklar
3384,sam,Sam
3385,stick,sopa
3386,securities,menkul kıymetler
3387,allen,Allen
3388,pdt,Pasifik yaz saati
3389,relation,ilişki
3390,enabled,etkinleştirilmiş
3391,genre,tür
3392,slide,slayt
3393,montana,Montana
3394,volunteer,gönüllü
3395,tested,test edildi
3396,rear,arka
3397,democratic,demokratik
3398,enhance,genişletmek
3399,switzerland,İsviçre
3400,exact,bire bir aynı
3401,bound,bağlı
3402,parameter,parametre
3403,adapter,adaptör
3404,processor,işlemci
3405,node,düğüm
3406,formal,resmi
3407,dimensions,boyutlar
3408,contribute,katkı yapmak
3409,lock,kilit
3410,hockey,hokey
3411,storm,fırtına
3412,micro,mikro
3413,colleges,kolejler
3414,laptops,dizüstü bilgisayarlar
3415,mile,mil
3416,showed,gösterdi
3417,challenges,zorluklar
3418,editors,editörler
3419,mens,Erkeklerin
3420,threads,iplikler
3421,bowl,tas
3422,supreme,yüce
3423,brothers,kardeşler
3424,recognition,tanıma
3425,presents,sunar
3426,ref,referans
3427,tank,tank
3428,submission,teslimiyet
3429,dolls,bebekler
3430,estimate,tahmin etmek
3431,encourage,cesaretlendirmek
3432,navy,donanma
3433,kid,çocuk
3434,regulatory,düzenleyici
3435,inspection,denetleme
3436,consumers,tüketiciler
3437,cancel,iptal etmek
3438,limits,sınırlar
3439,territory,bölge
3440,transaction,işlem
3441,manchester,Manchester
3442,weapons,silahlar
3443,paint,boyamak
3444,delay,gecikme
3445,pilot,pilot
3446,outlet,çıkış
3447,contributions,katkılar
3448,continuous,sürekli
3449,db,db
3450,czech,Çek
3451,resulting,sonuçlanan
3452,cambridge,Cambridge
3453,initiative,girişim
3454,novel,roman
3455,pan,tava
3456,execution,uygulamak
3457,disability,engellilik
3458,increases,artışlar
3459,ultra,ultra
3460,winner,kazanan
3461,idaho,Idaho
3462,contractor,müteahhit
3463,ph,ph
3464,episode,bölüm
3465,examination,sınav
3466,potter,çömlekçi
3467,dish,tabak
3468,plays,oyunlar
3469,bulletin,bülten
3470,ia,ia
3471,pt,pt
3472,indicates,gösterir
3473,modify,değiştirmek
3474,oxford,Oxford
3475,adam,adam
3476,truly,tamamen
3477,epinions,epinyonlar
3478,painting,tablo
3479,committed,bağlılık
3480,extensive,yaygın
3481,affordable,ekonomik
3482,universe,evren
3483,candidate,aday
3484,databases,veritabanları
3485,patent,patent
3486,slot,yuva
3487,psp,psp
3488,outstanding,üstün
3489,ha,Ha
3490,eating,yemek
3491,perspective,perspektif
3492,planned,planlanmış
3493,watching,izlemek
3494,lodge,loca
3495,messenger,haberci
3496,mirror,ayna
3497,tournament,turnuva
3498,consideration,düşünce
3499,ds,ds
3500,discounts,indirimler
3501,sterling,sterlin
3502,sessions,oturumlar
3503,kernel,çekirdek
3504,boobs,göğüsler
3505,stocks,hisse senetleri
3506,buyers,alıcılar
3507,journals,dergiler
3508,gray,gri
3509,catalogue,katalog
3510,ea,bir
3511,jennifer,Jennifer
3512,antonio,antonio
3513,charged,şarj edildi
3514,broad,geniş
3515,taiwan,Tayvan
3516,und,ve
3517,chosen,seçilmiş
3518,demo,gösteri
3519,greece,Yunanistan
3520,lg,büyük
3521,swiss,İsviçre
3522,sarah,Sarah
3523,clark,klark
3524,labour,iş gücü
3525,hate,nefret
3526,terminal,terminal
3527,publishers,yayıncılar
3528,nights,geceler
3529,behalf,adına
3530,caribbean,Karayipler
3531,liquid,sıvı
3532,rice,pirinç
3533,nebraska,Nebraska
3534,loop,döngü
3535,salary,maaş
3536,reservation,rezervasyon
3537,foods,yiyecekler
3538,gourmet,gurme
3539,guard,koruma
3540,properly,düzgün bir şekilde
3541,orleans,orleans
3542,saving,tasarruf
3543,nfl,NFL
3544,remaining,geriye kalan
3545,empire,imparatorluk
3546,resume,sürdürmek
3547,twenty,yirmi
3548,newly,yeni
3549,raise,artırmak
3550,prepare,hazırlanmak
3551,avatar,avatar
3552,gary,Gary
3553,depending,bağlı olarak
3554,illegal,yasadışı
3555,expansion,genleşme
3556,vary,çeşitli
3557,hundreds,yüzlerce
3558,rome,Roma
3559,arab,Arap
3560,lincoln,Lincoln
3561,helped,yardımcı oldu
3562,premier,başbakan
3563,tomorrow,Yarın
3564,purchased,satın alındı
3565,milk,süt
3566,decide,karar vermek
3567,consent,onay
3568,drama,dram
3569,visiting,ziyaret
3570,performing,performans sergiliyor
3571,downtown,şehir merkezi
3572,keyboard,klavye
3573,contest,yarışma
3574,collected,toplanan
3575,nw,yeni
3576,bands,gruplar
3577,boot,bot
3578,suitable,uygun
3579,ff,ff
3580,absolutely,kesinlikle
3581,millions,milyonlarca
3582,lunch,öğle yemeği
3583,dildo,yapay penis
3584,audit,denetim
3585,push,itmek
3586,chamber,oda
3587,guinea,Gine
3588,findings,bulgular
3589,muscle,kas
3590,featuring,içeren
3591,iso,izo
3592,implement,uygulamak
3593,clicking,tıklama
3594,scheduled,planlanmış
3595,polls,anketler
3596,typical,tipik
3597,tower,kule
3598,yours,senin
3599,sum,toplam
3600,misc,çeşitli
3601,calculator,hesap makinesi
3602,significantly,önemli ölçüde
3603,chicken,tavuk
3604,temporary,geçici
3605,attend,katılmak
3606,shower,duş
3607,alan,alan
3608,sending,gönderiyor
3609,jason,Jason
3610,tonight,bu akşam
3611,dear,Sayın
3612,sufficient,yeterli
3613,holdem,holdem
3614,shell,kabuk
3615,province,vilayet
3616,catholic,Katolik
3617,oak,meşe
3618,vat,KDV
3619,awareness,farkındalık
3620,vancouver,Vancouver
3621,governor,vali
3622,beer,bira
3623,seemed,göründü
3624,contribution,katkı
3625,measurement,ölçüm
3626,swimming,yüzme
3627,spyware,casus yazılım
3628,formula,formül
3629,constitution,anayasa
3630,packaging,ambalajlama
3631,solar,güneş
3632,jose,jose
3633,catch,yakalamak
3634,jane,jane
3635,pakistan,Pakistan
3636,ps,ps
3637,reliable,güvenilir
3638,consultation,danışma
3639,northwest,kuzeybatı
3640,sir,Sayın
3641,doubt,şüphe
3642,earn,para kazanmak
3643,finder,bulucu
3644,unable,aciz
3645,periods,dönemler
3646,classroom,sınıf
3647,tasks,görevler
3648,democracy,demokrasi
3649,attacks,saldırılar
3650,kim,kim
3651,wallpaper,duvar kağıdı
3652,merchandise,mal
3653,const,sabit
3654,resistance,rezistans
3655,doors,kapılar
3656,symptoms,semptomlar
3657,resorts,tatil köyleri
3658,biggest,en büyük
3659,memorial,anıt
3660,visitor,ziyaretçi
3661,twin,ikiz
3662,forth,ileri
3663,insert,sokmak
3664,baltimore,Baltimore
3665,gateway,geçit
3666,ky,ky
3667,dont,yapma
3668,alumni,mezunlar
3669,drawing,çizim
3670,candidates,adaylar
3671,charlotte,Charlotte
3672,ordered,sipariş edildi
3673,biological,biyolojik
3674,fighting,kavga
3675,transition,geçiş
3676,happens,olur
3677,preferences,tercihler
3678,spy,casus
3679,romance,romantizm
3680,instrument,enstrüman
3681,bruce,bruce
3682,split,bölmek
3683,themes,temalar
3684,powers,güçler
3685,heaven,cennet
3687,bits,parçalar
3688,pregnant,hamile
3689,twice,iki kere
3690,classification,sınıflandırma
3691,focused,odaklanmış
3692,egypt,Mısır
3693,physician,hekim
3694,hollywood,Hollywood
3695,bargain,pazarlık
3696,wikipedia,Vikipedi
3697,cellular,hücresel
3698,norway,Norveç
3699,vermont,Vermont
3700,asking,sormak
3701,blocks,bloklar
3702,normally,normalde
3703,lo,bak
3704,spiritual,manevi
3705,hunting,avcılık
3706,diabetes,diyabet
3707,suit,uygun olmak
3708,ml,ml
3709,shift,vardiya
3710,chip,çip
3711,res,res
3712,sit,oturmak
3713,bodies,bedenler
3714,photographs,fotoğraflar
3715,cutting,kesme
3716,wow,Vay
3717,simon,Simon
3718,writers,yazarlar
3719,marks,işaretler
3720,flexible,esnek
3721,loved,sevilen
3722,favourites,favoriler
3723,mapping,haritalama
3724,numerous,çeşitli
3725,relatively,nispeten
3726,birds,kuşlar
3727,satisfaction,memnuniyet
3728,represents,temsil etmek
3729,char,karakter
3730,indexed,indeksli
3731,pittsburgh,Pittsburgh
3732,superior,üst
3733,preferred,tercih edilen
3734,saved,kaydedildi
3735,paying,ödeme
3736,cartoon,karikatür
3737,shots,atışlar
3738,intellectual,entelektüel
3739,moore,moore
3740,granted,imtiyazlı
3741,choices,seçimler
3742,carbon,karbon
3743,spending,harcama
3744,comfortable,rahat
3745,magnetic,manyetik
3746,interaction,etkileşim
3747,listening,dinleme
3748,effectively,etkili bir şekilde
3749,registry,kayıt defteri
3750,crisis,kriz
3751,outlook,görünüm
3752,massive,cüsseli
3753,denmark,Danimarka
3754,employed,istihdam edilmiş
3755,bright,parlak
3756,treat,davranmak
3757,header,başlık
3758,cs,cs
3759,poverty,yoksulluk
3760,formed,oluşturulmuş
3761,piano,piyano
3762,echo,yankı
3763,que,ne
3764,grid,ızgara
3765,sheets,çarşaflar
3766,patrick,patrick
3767,experimental,deneysel
3768,puerto,Porto
3769,revolution,devrim
3770,consolidation,konsolidasyon
3771,displays,görüntüler
3772,plasma,plazma
3773,allowing,izin vermek
3774,earnings,kazançlar
3775,voip,VoIP
3776,mystery,gizem
3777,landscape,manzara
3778,dependent,bağımlı
3779,mechanical,mekanik
3780,journey,seyahat
3781,delaware,Delaware
3782,bidding,teklif verme
3783,consultants,danışmanlar
3784,risks,riskler
3785,banner,afiş
3786,applicant,başvuran
3787,charter,tüzük
3788,fig,incir
3789,barbara,barbara
3790,cooperation,işbirliği
3791,counties,ilçeler
3792,acquisition,kazanma
3793,ports,limanlar
3794,implemented,uygulandı
3795,sf,sf
3796,directories,dizinler
3797,recognized,tanınan
3798,dreams,rüyalar
3799,blogger,blog yazarı
3800,notification,bildiri
3801,kg,kilogram
3802,licensing,lisanslama
3803,stands,duruyor
3804,teach,öğretmek
3805,occurred,olmuş
3806,textbooks,ders kitapları
3807,rapid,ani
3808,pull,çekmek
3809,hairy,kıllı
3810,diversity,çeşitlilik
3811,cleveland,Cleveland
3812,ut,ama
3813,reverse,tersi
3814,deposit,mevduat
3815,seminar,seminer
3816,investments,yatırımlar
3817,latina,Latin
3818,nasa,NASA
3819,wheels,tekerlekler
3820,sexcam,seks kamerası
3821,specify,belirtmek
3822,accessibility,erişilebilirlik
3823,dutch,Flemenkçe
3824,sensitive,hassas
3825,templates,şablonlar
3826,formats,biçimleri
3827,tab,sekme
3828,depends,bağlı olmak
3829,boots,çizmeler
3830,holds,tutar
3831,router,yönlendirici
3832,concrete,beton
3833,si,si
3834,editing,düzenleme
3835,poland,Polonya
3836,folder,dosya
3837,womens,Bayanlar
3838,css,css
3839,completion,tamamlama
3840,upload,yüklemek
3841,pulse,nabız
3842,universities,üniversiteler
3843,technique,teknik
3844,contractors,müteahhitler
3845,milfhunter,milf avcısı
3846,voting,oylama
3847,courts,mahkemeler
3848,notices,bildirimler
3849,subscriptions,abonelikler
3850,calculate,hesaplamak
3851,mc,mc
3852,detroit,Detroit
3853,alexander,İskender
3854,broadcast,yayın
3855,converted,dönüştürülmüş
3856,metro,metro
3857,toshiba,Toshiba
3858,anniversary,yıl dönümü
3859,improvements,iyileştirmeler
3860,strip,şerit
3861,specification,şartname
3862,pearl,inci
3863,accident,kaza
3864,nick,Nick
3865,accessible,erişilebilir
3866,accessory,aksesuar
3867,resident,ikamet eden kişi
3868,plot,komplo
3869,qty,miktar
3870,possibly,muhtemelen
3871,airline,havayolu
3872,typically,tipik olarak
3873,representation,temsil
3874,regard,saygınlık
3875,pump,pompa
3876,exists,var
3877,arrangements,düzenlemeler
3878,smooth,düz
3879,conferences,konferanslar
3880,uniprotkb,uniprotkb
3881,beastiality,hayvanlarla cinsel ilişki
3882,strike,çarpmak
3883,consumption,tüketim
3884,birmingham,Birmingham
3885,flashing,yanıp sönen
3886,lp,lp
3887,narrow,dar
3888,afternoon,öğleden sonra
3889,threat,tehdit
3890,surveys,anketler
3891,sitting,oturma
3892,putting,koyarak
3893,consultant,danışman
3894,controller,kontrolör
3895,ownership,mülkiyet
3896,committees,komiteler
3897,penis,penis
3898,legislative,yasama
3899,researchers,araştırmacılar
3900,vietnam,Vietnam
3901,trailer,römork
3902,anne,anne
3904,gardens,bahçeler
3905,missed,kaçırıldı
3906,malaysia,Malezya
3907,unsubscribe,aboneliği iptal et
3908,antique,antika
3909,labels,etiketler
3910,willing,hevesli
3911,bio,biyografi
3912,molecular,moleküler
3913,upskirt,etek altı
3914,acting,oyunculuk
3915,heads,kafalar
3916,stored,saklandı
3917,exam,sınav
3918,logos,logolar
3919,residence,ikamet
3920,attorneys,avukatlar
3921,milfs,MILF'ler
3922,antiques,antikalar
3923,density,yoğunluk
3924,hundred,yüz
3925,ryan,Ryan
3926,operators,operatörler
3927,strange,garip
3928,sustainable,sürdürülebilir
3929,philippines,Filipinler
3930,statistical,istatistiksel
3931,beds,yataklar
3932,breasts,göğüsler
3933,mention,değinmek
3934,innovation,yenilik
3935,pcs,adet
3936,employers,işverenler
3937,grey,gri
3938,parallel,paralel
3939,honda,Honda
3940,amended,düzeltilmiş
3941,operate,işletmek
3942,bills,faturalar
3943,bold,gözü pek
3944,bathroom,banyo
